keyword,sentence
교환,반면 쥐들은 숲을 돌아다니면서 도토리와 교환할 수 있는 정보를 수집했어.
목적,원래 성실한 일꾼인 데다가 고슴도치 말을 듣고 목적이 새로 생겼으니 더 열심히 일했어.
문제,딱히 어려운 문제가 아니니.
문제,문제를 해결할 방법이 하나 있긴 합니다만, 비용이 드는데
방법,고슴도치는 자신의 상품을 파는 방법을 확실히 알고 있었지.
방법,고슴도치님이 도토리를 더 많이, 그것도 더 쉽게 모을 방법을 가르쳐 주고
방법,문제를 해결할 방법이 하나 있긴 합니다만, 비용이 드는데
사실,사실 숲속 다람쥐들을 모두 모아서 고슴도치님 말씀을 듣게 하고 싶어요.
선택,고슴도치가 다람쥐의 눈을 얼마나 진지하게 바라보던지, 다람쥐에겐 선택의 여지가 없었어.
선택,하지만 선택의 여지가 없었지.
설명,고슴도치가 짧게 대답하더니 설명을 덧붙였어.
설명,작은 쥐는 도토리를 받지 못할까 봐 열심히 설명했어.
설명,고슴도치는 설명을 마치고 비통하게 한숨을 쉬었어.
의미,고슴도치는 협상이 이뤄진 것을 확인하자는 의미로 앞발을 내밀었어.
이용,중요한 회의나 축하 행사가 있을 때 이용하는 곳이었어.
이용,여러분을 이용하고 있는 것도 용서할 수 있을까요?
이용,모두 함께 잘 사는 걸 중요하게 여기는 여러분의 마음을 이용하는 겁니다!
이용,이걸 보면 그 누구도 거짓을 이용해 우리를 갈라놓고 서로 미워하게 해서는 안 된다는 걸 잊지 않게 될 거야!
정리,정오가 되자 상황이 정리되었어.
준비,숲속 동물들은 겨울 준비로 무척 바빴어.
준비,열심히 겨울 준비를 하던 동물들의 정신이 딴 데로 팔린 거야.
중요,동물들에겐 해야 할 더 중요한 일이 많았거든.
중요,중요한 회의나 축하 행사가 있을 때 이용하는 곳이었어.
중요,조금도 주저하지 않고 가장 중요한 것을 빼앗아 갑니다
중요,모두 함께 잘 사는 걸 중요하게 여기는 여러분의 마음을 이용하는 겁니다!
중요,제가 그들에게 무엇을 팔았느냐가 중요한 게 아닙니다.
중요,중요한 건, 제가 여러분을 어떻게 도울 수 있느냐 하는 것이지요!
중요,곤경에 처한 새끼들의 울음소리가 무엇이 가장 중요한지 깨닫게 해 준 거야.
직접,그건 다람쥐님께서 직접 모은 도토리니까요.
직접,제 귀로 직접 들었다니까요!
행동,비버들의 행동이 너무 이상했거든.
행동,예를 들어 증오 같은 것에 사로잡히지 않고서야 그런 행동을 할 수 없다고 생각했지.
행동,미친 것처럼 행동하고 있어요.
행동,너희의 지금 행동은 미워할 다른 대상을 찾는 것밖에 안 돼!
대표,늙은 비버가 모두를 대표해서 말했어.
대표,새들은 고슴도치에게 대표단을 보내기로 했어.
대표,대표단에 뽑힌 새들은 비버가 지어 준 고슴도치의 집을 찾아갔어.
동의,모두 동의하며 잊지 말자고 마음속으로 굳게 맹세했어.
발견,나만 그런 게 아니 야 온 가족이 아무것도 발견하지 못했다니까!
발견,봄에 둥지 주인들이 돌아오면 사막처럼 나무 한 그루 없는 걸 발견하겠지.
상황,여러분이 오늘 같은 상황에 놓인 것은 그들의 오만과 사치 때문입니다.
상황,철새들이 봄에 돌아와 여러분의 나무를 차지하면 상황이 훨씬 나빠지겠지요.
상황,정오가 되자 상황이 정리되었어.
설득,제가 일부 나무에는 표시하지 말라고 쥐들을 설득해 보겠습니다.
설득,쥐들을 설득하는 대가로, 고슴도치님이 우리에게 원하는 건 뭐죠?
수집,쥐들은  도토리와 교환할 수 있는 정보를 수집했어.
아이디어,저는 정보와 아이디어를 팝니다.
원인,오랜 시간이 지나서도 대참사의 정확한 원인은 아무도 말할 수 없었어.
유용,유쾌하지 않을지는 몰라도 꽤 유용하지요.
유용,제가 파는 상품이 다람쥐님께 얼마나 유용한지!
정보,저는 정보와 아이디어를 팝니다.
정보,설마 은근슬쩍 공짜 정보를 얻으려고 한 건 아니시죠?
정보,"제가 정보를 드리면, 다람쥐님은 도토리를 더 쉽게 더 많이 모으실 겁니다."
정보,고슴도치님의 정보가 가치 있다면 난 반드시 약속을 지킬 거예요!
정보,제가 드리는 정보로 여러분은 전보다 훨씬 튼튼한 집을 아주 아주 많이 지을 수 있을 텐데
정보,고슴도치님의 정보가 이치에 맞는다면 집을 지어 드리지요.
제안,괜찮은 제안 아닙니까?”
제안,결국 새들은 고슴도치의 제안을 받아들였어.
조건,이것이 저의 거래 조건입니다.
조건,"단, 먼저 거래 조건에 대해 의논합시다."
표시,빈 둥지가 있는 나무마다 표시하라고 명령했어.
표시,비버들은 쥐들이 표시한 나무들을 하나씩 쓰러뜨렸지.
표시,쥐들이 빈 둥지가 있는 나무를 찾아 표시하면, 비버들이 그 나무를 쓰러뜨리는 거예요.
표시,제가 일부 나무에는 표시하지 말라고 쥐들을 설득해 보겠습니다.
표시,쥐들이 표시하지 않은 나무마다 솜털 한 줌을 주신다면 거래할게요.
표시,쥐들이 나무에 표시할 때 실수한 걸까?
표시,그것도 아니면 다람쥐들과 새들이 나무에 있는 표시를 못 보고 집을 지은 걸까?
해결,문제를 해결할 방법이 하나 있긴 합니다만
해결,어떻게 해결하면 좋겠소?
현장,잠시 후, 대참사의 현장으로 다시 모인 동물들은 말없이 서로를 바라보았지.
확인,고슴도치는 협상이 이뤄진 것을 확인하자는 의미로 앞발을 내밀었어.
효과,효과도 아주 빨라요!

