keyword,sentence
결과,그 실패의 결과가 일곱 번의 전학이지만.
결과,이미 수많은 연구 결과가 MCS는 다른 사람에게 감염되지 않는다고..
경험,몇 번의 발작을 경험한 뒤에야
경험,여태 숱하게 경험한 감각 아닌가.
경험,목숨을 위협 받을 정도로 배고팠던 경험이 있는 거겠지.
관계,‘관계자 외 출입 금지.’
능력,"지능 테스트나 공간 지각 능력, 생명 감수성 테스트, 뭐 그런 것들?"
능력,왠지 학습 능력에 특화된 치료 같은데?
능력,매번 약에 의지하면 조절 능력을 키울 수 없다면서 말이다.
능력,경찰은 A 소장에게 보호 및 부양 능력이 없다고 판단해 B와 C를 보호 기관에 입소시키기로.
반대,"MCS 치료 센터 건립, 반대한다, 반대한다!"
반대,"“반대한다, 반대한다!”"
반대,"‘주민 동의 없는 MCS 치료 센터 건립, 결사 반대!’"
반대,원래 다니던 센터 앞에도 ‘혐오 시설 반대 ’ 현수막이 붙어 있었다.
반대,소장님은 반대편 철창에 갇혀 있었다.
방향,"중간중간 잿빛 털도 찾을 수 있었는데, 어느 방향으로 일정하게 이어져 있었다."
안내,아저씨는 우리를 2층 연구실로 안내했다.
안내,"버스 도착 시간을 안내해 주는 전광판도 없고, 기다릴 때 앉을 수 있는 벤치도 없었다."
연결,119를 누르자 곧 전화가 연결됐다.
이해,엄마의 말에 교감 선생님은 이해한다는 듯 고개를 끄덕였다.
이해,저는 이해를 못 하겠는데요.
이해,"머리로는 이해하지만, 가슴으로는 받아들이기 힘들었다."
이해,새삼 나를 피하던 아이들이 이해됐다.
이해,자신을 온전히 이해해 줄 친구.
이해,불같이 화내던 모습이 이해됐다.
이해,이제야 그날 연우가 한 행동을 이해할 수 있었다.
이해,그래도 이해해.
종류,변이 억제제는 종류가 정말 많다.
종류,약의 종류가 많다는 건 좋은 점도 있지만 단점 또한 못지않다.
종류,"지금 내가 먹는 약도 긴 시간 여러 약을 먹어 보고, 실패하기도 하면서 잘 듣는 약의 종류와 용량을 찾아낸 거다."
종류,"색깔과 질감, 두께까지 같은 종류였다."
지도,"공부도, 학교생활도 잘할 수 있도록 성실히 지도하겠습니다."
가능,가능하다고 생각해?
가능,"사람들이 내 말을 믿어 줄 리도 없고, 산들이가 잡혀갈 가능성도 무시할 수 없었다."
거부,"승아도 소장님이 입양했지만, 아직은 훈련을 거부하며 밖에서 떠돈다고 했다."
거부,오랫동안 가져온 두려움과 거부감 때문에 진도가 느리다고 했다.
구분,당황해서 교과서인지 책인지도 구분하지 못했다.
구분,"눈 색깔이나 몸의 크기까진 구분하지 못해도, 연우의 털이 갈색이라는 건 우리 학교 아이들이라면 누구나 아는 사실이다."
내부,경찰서 내부 위치 파악하기.
목표,"발작을 줄이고, 나중에는 변이가 일어나지 않도록 하는 게 목표였다."
목표,산들이가 목표물을 발견하고 소리쳤다.
반복,그렇게 몇 번이나 전학이 반복되었다.
반복,눈앞이 흐려졌다 밝아졌다를 반복했다.
반복,"하지만 전화는 끊어지면 다시 걸려 오고, 또다시 걸려 오기를 반복했다."
변화,나는 내가 어떤 변화를 겪는지 알 수 있었다.
변화,그와 동시에 몸에 일어나던 변화도 사라졌다.
변화,모두들 놀랐지만 정작 연우는 표정에 변화가 없었다.
변화,시간이 지나도 내 몸에는 변화가 일어나지 않았다.
보안,꽁꽁 숨어 있어서 보안은 확실하겠네.
보호,소장님은 우리의 든든한 보호자가 되어 주었다.
보호,MCS는 사회에서 격리 조치되어 보호 기관에 입소 후 국가에서 관리하게 된다.
보호,보호 기관이라니.
보호,연우와 승아를 감옥이나 보호 기관에 보낼 수는 없다.
상상,아무것도 모르는 아이들은 제멋대로 상상하고 부풀렸다.
상상,"예전 같으면 상상도 하지 못할 일이지만, 이제는 그리 고민되지 않았다."
상상,처음 널 이곳으로 데려올 때만 해도 상상도 못 했던 일이야.
소유,저는 변이유전자 소유자들이 자립할 수 있도록 돕는..
소유,변이유전자 소유자.
연구,국내 외에 명성이 자자한 의사 선생님이 돌연 연구를 그만두고 비밀리에 이곳으로 내려왔다.
연구,아저씨는 우리를 2층 연구실로 안내했다.
연구,낯선 마음에 연구실 안을 두리번거리며 관찰하고 있을 때였다.
연구,"몸을 깨끗이 말리고, 우리는 연구실 소파에 마주 앉았다."
연구,나는 인사도 제대로 하지 않고 연구실을 빠져나왔다.
연구,이미 수많은 연구 결과가 MCS는 다른 사람에게 감염되지 않는다고
의도,눈을 동그랗게 뜬 산들이는 내 의도를 금방 알아챘다.
의도,소장님은 연우의 의도를 짐작한 듯했다.
자극,내 질문이 잿빛 털을 자극한 모양이었다.
자극,과수원에서의 일도 자극적으로 기사화되었다.
정상,"정상적인 아이, 평범한 아이."
정상,이래 가지곤 정상적인 생활이 안 돼요.
정상,"이곳에선 누구도 우리가 MCS인 줄 모르니까, 잘 치료 받고 정상으로 살아 보자고."
정상,"그런데 내가 여기에서 연우를 아는 체한다면, 나까지 비정상이라고 소문이 날 거다."
정상,나는 정상처럼 보이고 싶다.
정상,빨리 약을 먹고 정상으로 돌아가고 싶었다.
정상,너도 정상적으로 지내면 되잖아.
정상,“난 이미 정상인데?”
정상,정상으로 살고 싶어요.
정상,"“하늬야, 넌 이미 정상이야."""
정상,괴물로 변하는 내가 정상이라고?
정상,"그래서 치료 받아야 한다고, 정상이 될 수 있을 거라고 믿었다."
정상,"그 믿음은, 내가 정상이 아니라는 믿음이기도 하다는 걸 몰랐다."
